timestamp shashi_outflow shashi_inflow shashi_risedrop shashi_level chenglingji_outflow chenglingji_inflow chenglingji_risedrop chenglingji_level
1598191200 0 41200 6 43.01 0 12800 4 33.15
1598194800 0 41100 6 43.01 0 13200 5 33.23
1598198400 0 41200 6 43.01 0 13000 4 33.18
1598202000 0 41100 5 43.02 0 12500 4 33.09
1598295600 0 41800 5 43.07 0 15600 4 33.18
1598320800 0 42200 6 43.13 0 15700 5 33.23
1598328000 0 42500 5 43.15 0 15900 5 33.29
1598331600 0 42500 4 43.14 0 15900 6 33.29
1598335200 0 42400 4 43.13 0 16000 5 33.32
1598338800 0 42500 5 43.14 0 16200 5 33.38
1598342400 0 42100 4 43.13 0 15900 4 33.28
1598346000 0 42000 4 43.12 0 16100 5 33.34
1598349600 0 41700 4 43.1 0 16100 5 33.36
1598353200 0 41300 4 43.08 0 16100 6 33.36
1598356800 0 41100 4 43.05 0 16000 6 33.33
1598360400 0 40800 4 43.03 0 16100 5 33.34
1598364000 0 40500 4 43.01 0 16000 4 33.33
1598367600 0 40400 4 42.98 0 16000 6 33.33
1598371200 0 40000 4 42.96 0 16200 5 33.39
1598374800 0 39400 4 42.93 0 16400 5 33.47
1598378400 0 39400 4 42.92 0 16200 4 33.41
1598389200 0 39000 4 42.86 0 16100 4 33.34
1598392800 0 38900 4 42.85 0 16200 5 33.39
1598396400 0 38800 4 42.83 0 16300 5 33.43
1598400000 0 38700 4 42.8 0 16200 4 33.41
1598403600 0 38400 4 42.78 0 16400 5 33.47
1598407200 0 37900 4 42.74 0 16300 4 33.43
1598410800 0 37800 4 42.72 0 16200 4 33.38
1598414400 0 37400 4 42.69 0 16500 5 33.49
1598418000 0 37500 4 42.68 0 16400 4 33.47
1598421600 0 37400 4 42.66 0 16300 4 33.43
1598425200 0 37200 4 42.65 0 16500 5 33.49
1598428800 0 37100 4 42.63 0 16500 5 33.5
1598432400 0 36900 4 42.6 0 16400 4 33.45
1598436000 0 36400 4 42.55 0 16600 5 33.53
1598439600 0 35900 4 42.51 0 16400 4 33.45
1598443200 0 35800 4 42.46 0 16500 5 33.49
1598446800 0 35400 4 42.42 0 16300 4 33.43
1598450400 0 35200 4 42.39 0 16400 5 33.45
1598454000 0 35300 4 42.36 0 16500 5 33.49
1598457600 0 34900 4 42.32 0 16500 5 33.5
1598461200 0 34700 4 42.29 0 16500 4 33.49
1598464800 0 34800 4 42.28 0 16500 5 33.5
1598468400 0 34500 4 42.25 0 16500 6 33.5
1598472000 0 34400 4 42.23 0 16400 4 33.48
1598475600 0 34200 4 42.21 0 16400 4 33.45
1598479200 0 34200 4 42.19 0 16400 5 33.48
1598482800 0 33900 4 42.16 0 16300 4 33.43
1598486400 0 33600 4 42.11 0 17800 5 33.45
1598490000 0 34300 4 42.08 0 17500 4 33.41
1598493600 0 33900 4 42.03 0 17500 6 33.41
1598493600 0 33900 4 42.03 0 17900 6 33.41
1598497200 0 33700 4 41.99 0 17800 5 33.48
1598500800 0 33300 4 41.95 0 17900 4 33.46
1598504400 0 33100 4 41.92 0 17700 5 33.5
1598508000 0 33000 4 41.89 0 17900 4 33.47
1598511600 0 33000 4 41.86 0 18100 4 33.4
1598515200 0 32600 4 41.82 0 17900 5 33.47
1598518800 0 32100 4 41.78 0 18100 4 33.41
1598522400 0 32200 4 41.77 0 18100 4 33.4
1598526000 0 32100 4 41.74 0 18200 4 33.38
1598529600 0 32000 4 41.72 0 18100 5 33.41
1598533200 0 32100 4 41.71 0 18100 4 33.4
1598536800 0 31700 4 41.68 0 18300 4 33.36
1598540400 0 31700 4 41.66 0 18300 6 33.36
1598544000 0 31600 4 41.64 0 18400 4 33.34
1598547600 0 31600 4 41.63 0 18300 5 33.36
1598551200 0 31500 4 41.6 0 18400 4 33.34
1598554800 0 31500 6 41.6 0 18400 4 33.33
1598558400 0 31500 4 41.57 0 18300 5 33.36
1598562000 0 31200 4 41.56 0 18300 6 33.36
1598565600 0 30800 4 41.54 0 18400 4 33.34
1598569200 0 31000 4 41.5 0 18600 4 33.29
1598572800 0 31000 4 41.49 0 18400 5 33.33
1598576400 0 30900 4 41.48 0 18500 4 33.32
1598580000 0 31000 4 41.47 0 18500 6 33.32
1598583600 0 31000 4 41.46 0 18600 4 33.28
1598587200 0 30800 4 41.45 0 18800 4 33.24
1598590800 0 30800 6 41.45 0 18700 5 33.25
1598594400 0 30800 4 41.43 0 18700 6 33.25
1598598000 0 30700 4 41.42 0 18600 5 33.29
1598601600 0 30600 4 41.4 0 18800 4 33.24
1598605200 0 30800 6 41.4 0 18800 4 33.23
1598608800 0 30800 6 41.4 0 18900 4 33.22
1598612400 0 30600 4 41.38 0 18800 5 33.24
1598616000 0 30700 6 41.38 0 18800 6 33.24
1598619600 0 30800 6 41.38 0 19000 4 33.18
1598623200 0 30700 4 41.37 0 19100 4 33.16
1598637600 0 30700 4 41.35 0 19300 4 33.11
1598641200 0 30500 4 41.34 0 19200 5 33.13
1598644800 0 30600 6 41.34 0 19200 6 33.13
1598648400 0 30300 4 41.33 0 19100 5 33.15
1598652000 0 30400 4 41.32 0 19200 4 33.13
1598655600 0 30500 5 41.33 0 19300 4 33.11
1598659200 0 30600 4 41.31 0 19500 4 33.06
1598662800 0 30600 6 41.31 0 19500 6 33.06
1598666400 0 30700 6 41.31 0 19400 5 33.08
1598666400 0 30700 6 41.31 0 21100 5 33.08
1598670000 0 30500 6 41.3 0 21000 5 33.11
1598673600 0 30600 4 41.29 0 20900 5 33.12
1598677200 0 30600 6 41.29 0 21100 4 33.09
1598680800 0 30700 6 41.29 0 20900 5 33.12
1598684400 0 30600 4 41.28 0 21200 4 33.05
1598688000 0 30600 6 41.28 0 21200 6 33.05
1598691600 0 30500 6 41.28 0 21300 4 33.04
1598695200 0 30600 4 41.27 0 21200 5 33.06
1598698800 0 30600 6 41.27 0 21300 4 33.04
1598702400 0 30700 6 41.27 0 21200 5 33.05
1598706000 0 30600 4 41.25 0 21300 4 33.02
1598709600 0 30800 5 41.26 0 21500 4 32.97
1598713200 0 31000 6 41.26 0 21500 5 32.98
1598716800 0 30500 6 41.26 0 21700 4 32.93
1598720400 0 30900 6 41.26 0 21500 5 32.97
1598724000 0 30800 4 41.24 0 21600 4 32.96
1598727600 0 30600 6 41.24 0 21400 5 33
1598731200 0 30800 6 41.24 0 21600 4 32.95
1598734800 0 30800 6 41.24 0 21500 5 32.98
1598738400 0 30800 4 41.23 0 21700 4 32.91
1598742000 0 30900 5 41.24 0 21800 4 32.9
1598745600 0 30900 6 41.24 0 21700 5 32.91
1598749200 0 30800 4 41.22 0 21700 5 32.93
1598752800 0 30800 5 41.23 0 21600 5 32.95
1598756400 0 30900 4 41.22 0 21800 4 32.88
1598760000 0 31000 5 41.23 0 21700 5 32.91
1598763600 0 30900 4 41.22 0 21900 4 32.87
1598767200 0 31000 6 41.22 0 21900 6 32.87
1598770800 0 30800 4 41.21 0 21700 5 32.91
1598774400 0 31000 5 41.23 0 21800 4 32.88
1598778000 0 31100 4 41.21 0 22000 4 32.84
1598781600 0 30900 5 41.22 0 21800 5 32.88
1598785200 0 31200 6 41.22 0 21800 5 32.9
1598788800 0 31100 4 41.21 0 21800 4 32.89
1598792400 0 31000 6 41.21 0 22000 4 32.82
1598796000 0 31000 4 41.2 0 22100 4 32.8
1598799600 0 30700 4 41.18 0 22000 5 32.81
1598803200 0 30900 6 41.18 0 22000 5 32.84
1598806800 0 30500 4 41.16 0 22000 4 32.81
1598810400 0 30400 4 41.14 0 22000 5 32.84
1598814000 0 30300 4 41.13 0 22100 4 32.8
1598817600 0 30100 4 41.11 0 22100 4 32.77
1598821200 0 30000 4 41.09 0 22100 5 32.78
1598824800 0 30000 4 41.08 0 22000 5 32.82
1598828400 0 30000 4 41.05 0 22200 4 32.74
