timestamp wulong_outflow wulong_inflow wulong_risedrop wulong_level
1598587200 0 545 5 170.08
1598590800 0 496 4 170
1598590800 0 525 4 170
1598594400 0 578 5 170.16
1598598000 0 810 5 170.86
1598601600 0 1090 5 171.67
1598605200 0 1290 5 172.27
1598608800 0 1410 5 172.61
1598612400 0 1430 4 172.44
1598616000 0 1290 4 172.02
1598619600 0 1150 4 171.62
1598623200 0 1080 4 171.4
1598637600 0 575 4 169.75
1598641200 0 521 4 169.57
1598644800 0 509 4 169.53
1598648400 0 503 4 169.51
1598652000 0 488 4 169.46
1598655600 0 497 5 169.49
1598659200 0 518 5 169.56
1598662800 0 530 5 169.6
1598666400 0 542 5 169.64
1598670000 0 530 4 169.6
1598673600 0 509 4 169.53
1598677200 0 400 4 169.49
1598677200 0 497 4 169.49
1598680800 0 397 4 169.48
1598684400 0 418 5 169.56
1598688000 0 599 5 170.19
1598691600 0 832 5 170.88
1598695200 0 920 5 171.13
1598698800 0 909 4 171.1
1598702400 0 825 4 170.86
1598706000 0 822 4 170.85
1598709600 0 928 5 171.15
1598713200 0 951 5 171.21
1598716800 0 778 4 170.72
1598720400 0 552 4 170.05
1598724000 0 434 4 169.62
1598727600 0 445 5 169.66
1598731200 0 582 5 170.14
1598734800 0 741 5 170.61
1598738400 0 697 4 170.48
1598742000 0 660 4 170.37
1598745600 0 663 5 170.38
1598749200 0 673 5 170.41
1598752800 0 646 4 170.33
1598756400 0 516 4 169.93
1598760000 0 453 4 169.69
1598763600 0 432 4 169.61
1598767200 0 516 5 169.93
1598770800 0 856 5 170.95
1598774400 0 1190 5 171.85
1598778000 0 1390 5 172.38
1598781600 0 1500 5 172.68
1598785200 0 1490 4 172.65
1598788800 0 1280 4 172.1
1598792400 0 947 4 171.2
1598796000 0 694 4 170.47
1598799600 0 646 4 170.33
1598803200 0 586 4 170.15
1598806800 0 511 4 169.91
1598810400 0 458 4 169.71
1598814000 0 429 4 169.6
1598817600 0 442 5 169.65
1598821200 0 511 5 169.91
1598824800 0 694 5 170.47
1598828400 0 829 5 170.87
